newid,mod,storia,good,quartile,pct_caption,pct_face,pct_none
TI04,images,tappeto,True,2,85.11904761904762,2.380952380952381,12.5
TI04,images,tappeto,True,3,57.14285714285714,17.857142857142858,25.0
TI04,images,tappeto,True,4,63.095238095238095,15.476190476190476,21.428571428571427
TI06,text,volpe e boscaiolo,True,1,60.962566844919785,35.82887700534759,3.2085561497326207
TI06,text,volpe e boscaiolo,True,2,73.40425531914893,24.46808510638298,2.127659574468085
TI06,text,volpe e boscaiolo,True,3,91.97860962566845,7.4866310160427805,0.53475935828877
TI06,text,volpe e boscaiolo,True,4,66.48936170212765,25.0,8.51063829787234
TI07,text,volpe e boscaiolo,True,1,53.38983050847458,42.3728813559322,4.23728813559322
TI07,text,volpe e boscaiolo,True,2,77.63157894736842,10.526315789473683,11.842105263157894
TI07,text,volpe e boscaiolo,True,3,65.21739130434783,23.91304347826087,10.869565217391305
TI07,text,volpe e boscaiolo,True,4,94.5945945945946,0.0,5.405405405405405
TI06,images,tappeto,True,1,74.11764705882354,20.0,5.88235294117647
TI06,images,tappeto,True,2,93.45238095238095,1.1904761904761905,5.357142857142857
TI06,images,tappeto,True,3,96.42857142857143,2.380952380952381,1.1904761904761905
TI06,images,tappeto,True,4,100.0,0.0,0.0
TI07,images,tappeto,False,1,71.875,22.916666666666664,5.208333333333334
TI07,images,tappeto,False,2,100.0,0.0,0.0
TI07,images,tappeto,False,3,100.0,0.0,0.0
TI07,images,tappeto,False,4,78.88888888888889,0.0,21.11111111111111
TI08,text,volpe e boscaiolo,True,1,0.0,44.38502673796791,55.61497326203209
TI08,text,volpe e boscaiolo,True,2,0.0,12.5,87.5
TI08,text,volpe e boscaiolo,True,3,0.0,16.265060240963855,83.73493975903614
TI08,text,volpe e boscaiolo,True,4,0.0,11.797752808988763,88.20224719101124
TI09,text,volpe e boscaiolo,True,1,38.62433862433862,57.14285714285714,4.232804232804233
TI09,text,volpe e boscaiolo,True,2,7.446808510638298,86.17021276595744,6.382978723404255
TI09,text,volpe e boscaiolo,True,3,8.51063829787234,75.0,16.48936170212766
TI09,text,volpe e boscaiolo,True,4,14.43850267379679,85.02673796791443,0.53475935828877
TI08,images,tappeto,True,1,0.0,16.7741935483871,83.22580645161291
TI08,images,tappeto,True,2,0.0,54.54545454545454,45.45454545454545
TI08,images,tappeto,True,3,0.0,28.30188679245283,71.69811320754717
TI08,images,tappeto,True,4,0.0,10.714285714285714,89.28571428571429
TI10,text,delfino,True,1,86.59517426273459,12.332439678284182,1.0723860589812333
TI10,text,delfino,True,2,71.15902964959568,17.78975741239892,11.05121293800539
TI10,text,delfino,True,3,87.93565683646113,7.238605898123325,4.825737265415549
TI10,text,delfino,True,4,88.73994638069705,6.166219839142091,5.093833780160858
TI11,text,volpe e boscaiolo,True,1,46.8421052631579,42.63157894736842,10.526315789473683
TI11,text,volpe e boscaiolo,True,2,58.51063829787234,31.914893617021278,9.574468085106384
TI11,text,volpe e boscaiolo,True,3,73.2620320855615,25.668449197860966,1.06951871657754
TI11,text,volpe e boscaiolo,True,4,72.72727272727273,18.181818181818183,9.090909090909092
TI09,images,tappeto,True,1,66.47058823529412,32.35294117647059,1.1764705882352942
TI09,images,tappeto,True,2,85.11904761904762,13.095238095238097,1.7857142857142856
TI09,images,tappeto,True,3,89.88095238095238,9.523809523809524,0.5952380952380952
TI09,images,tappeto,True,4,79.16666666666666,17.261904761904763,3.571428571428571
TI10,images,panda,True,1,76.25,21.666666666666668,2.083333333333333
TI10,images,panda,True,2,81.74273858921161,11.618257261410788,6.639004149377594
TI10,images,panda,True,3,92.33449477351915,5.923344947735192,1.7421602787456445
TI10,images,panda,True,4,80.85106382978722,13.829787234042554,5.319148936170213
