newid,pid,grp,classe,storia,mod,sex,age,score,n,dur,hz,good,pct_caption,pct_word,pct_image,pct_band,pct_face,pct_mouth,pct_eyes,pct_none,pct_face_only,pct_nose
TI10,B10,TI,4,panda,images,M,10,57.1,957,115.6,8.3,True,83.4,35.6,22.0,25.7,12.9,7.4,0.1,3.8,5.2,0.1
TI11,B11,TI,1,tappeto,images,M,7,90,666,67.2,9.9,True,83.2,50.8,15.8,16.7,9.6,2.7,2.9,7.2,3.6,0.5
TI11,B11,TI,1,volpe e boscaiolo,text,M,7,90,753,75.0,10.0,True,62.7,58.8,0.0,3.9,29.7,1.2,0.3,7.6,28.3,0.0
TI12,B12,TI,4,delfino,text,F,9,57.1,1496,149.3,10.0,True,88.3,55.6,0.0,32.7,7.8,3.9,2.9,3.9,0.8,0.2
TI12,B12,TI,4,panda,images,F,9,64.3,1207,120.4,10.0,True,2.4,0.1,0.1,2.2,2.2,1.4,0.0,95.4,0.8,0.0
TI13,B13,TI,4,delfino,text,F,10,50,1494,149.3,10.0,True,88.8,73.9,0.0,14.9,7.9,3.4,3.1,3.3,0.6,0.8
TI13,B13,TI,4,panda,images,F,10,42.9,1124,120.5,9.3,True,92.3,41.3,31.9,19.1,5.5,2.2,1.6,2.2,1.5,0.2
TI14,B14,TI,5,anguille,text,M,11,70,1256,125.4,10.0,True,87.1,74.0,0.0,13.1,10.1,3.4,4.5,2.8,1.4,0.8
TI14,B14,TI,5,orso,images,M,11,35.7,1670,167.3,10.0,True,91.3,46.8,17.7,26.8,7.1,2.0,2.9,1.6,1.5,0.7
TI15,B15,TI,2,tappeto,images,M,8,70,674,67.2,10.0,True,66.8,28.3,19.1,19.3,27.4,0.0,0.0,5.8,27.4,0.0
TI15,B15,TI,2,volpe e boscaiolo,text,M,8,50,704,75.0,9.4,True,19.3,12.6,0.0,6.7,66.9,32.1,14.1,13.8,12.6,8.1
TI16,B16,TI,3,gatta,text,F,9,83.3,744,75.0,9.9,True,84.8,68.7,0.0,16.1,13.6,7.7,3.4,1.6,1.9,0.7
TI16,B16,TI,3,sbadiglio,images,F,9,50,88,8.7,10.1,False,53.4,15.9,18.2,19.3,45.5,19.3,14.8,1.1,8.0,3.4
TI17,B17,TI,3,gatta,text,F,9,41.7,1191,118.8,10.0,True,71.1,55.9,0.0,15.2,24.2,9.4,7.8,4.7,5.5,1.5
TI17,B17,TI,3,sbadiglio,images,F,9,70,1007,101.4,9.9,True,58.6,29.1,10.3,19.2,18.6,12.5,0.7,22.8,4.4,1.0
TI18,B18,TI,3,gatta,text,F,8,58.3,1189,118.8,10.0,True,45.1,37.9,0.0,7.1,38.1,15.1,13.5,16.8,8.9,0.6
TI18,B18,TI,3,sbadiglio,images,F,8,60,973,101.4,9.6,True,79.3,32.1,30.1,17.2,12.3,7.5,0.1,8.3,3.9,0.8
TI19,B20,TI,1,tappeto,images,F,6,90,668,67.2,9.9,True,82.2,18.1,49.6,14.5,16.0,0.6,9.6,1.8,4.6,1.2
TI19,B20,TI,1,volpe e boscaiolo,text,F,6,40,752,75.0,10.0,True,58.0,43.9,0.0,14.1,38.2,4.3,25.7,3.9,2.5,5.7
TI20,B21,TI,1,tappeto,images,F,6,30,385,58.9,6.5,True,45.5,9.1,30.4,6.0,39.5,23.4,6.0,15.1,7.8,2.3
TI20,B21,TI,1,volpe e boscaiolo,text,F,6,10,485,69.1,7.0,True,10.1,9.1,0.0,1.0,56.9,2.5,3.9,33.0,50.3,0.2
